id,year,month,date,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel,day,popularity
0,1,1,7,12,219,0.663594467,0.999999992,,4,2,1,0,4.680365297,5,entertainment,monday,0
1,1,1,7,9,255,0.604743081,0.999999993,0.791946303,3,1,1,0,4.91372549,4,bussiness,monday,0
2,1,1,7,9,211,0.575129531,,,3,,1,0,4.393364929,6,bussiness,monday,1
7,1,1,7,12,989,0.433573635,0.999999998,0.572107765,20,20,20,0,4.617795753,9,technology,monday,0
8,1,1,7,11,97,0.670103086,0.99999998,0.836734677,2,0,0,0,4.855670103,7,technology,monday,1
9,1,1,7,10,231,0.636363634,,0.797101443,4,1,1,1,5.090909091,5,world,monday,0
11,1,1,7,10,187,0.666666663,,0.799999993,7,0,1,0,4.657754011,7,lifestyle,monday,1
12,1,1,7,9,274,0.6091954,,0.707602335,18,2,,0,4.233576642,8,other,monday,0
13,1,1,7,9,285,0.744186044,0.999999995,,4,,0,21,4.343859649,6,other,monday,1
14,1,1,7,8,259,0.562753034,,0.644444441,19,3,9,0,5.023166023,7,other,,0
15,1,1,7,12,682,0.459541984,,0.634961438,10,0,1,0,4.620234604,6,world,monday,1
16,1,1,7,8,1118,0.512396694,,0.709770114,26,18,,1,4.703935599,5,other,monday,1
17,1,1,7,8,397,0.624678662,,0.805668013,11,0,1,0,5.445843829,6,bussiness,monday,1
18,1,1,7,11,103,0.689320382,0.999999984,,3,1,1,0,4.844660194,6,lifestyle,monday,1
19,1,1,7,8,1207,0.410579345,0.999999999,,24,24,42,0,4.716652858,8,technology,monday,1
20,1,1,7,13,1248,0.390637611,0.999999999,,21,19,20,0,4.686698718,10,technology,monday,1
21,1,1,7,9,391,0.510256409,0.999999996,0.649999997,9,2,1,1,5.296675192,7,world,monday,0
22,1,1,7,11,1154,0.427304964,,0.572815533,20,20,20,0,4.629982669,7,technology,monday,0
23,1,1,7,11,125,0.674796742,,0.797468344,1,1,1,0,4.824,6,world,monday,1
24,1,1,7,13,244,0.559999998,,0.680272104,3,2,1,0,4.422131148,4,bussiness,monday,0
25,1,1,7,8,266,0.572580643,0.999999993,,5,2,1,0,4.259398496,10,technology,monday,0
26,1,1,7,8,331,0.56269113,0.999999995,,5,3,1,0,4.782477341,9,technology,monday,1
27,1,1,7,12,1225,0.385451505,,0.508519003,22,22,28,0,4.635918367,9,technology,monday,1
28,1,1,7,10,243,0.619246859,,0.824427475,1,1,0,0,4.382716049,10,lifestyle,monday,0
29,1,1,7,11,723,0.490934448,0.999999998,0.642241378,18,1,1,0,5.228215768,6,bussiness,monday,0
30,1,1,7,8,708,0.48221906,0.999999998,0.68811881,8,3,1,1,4.620056497,7,bussiness,monday,1
31,1,1,7,10,633,0.476038338,0.999999998,0.579572445,2,,19,0,4.985781991,7,technology,monday,1
32,1,1,7,14,290,0.611510789,0.999999994,0.761904757,0,0,14,0,4.068965517,9,technology,monday,0
33,1,1,7,10,597,0.531732418,0.999999997,,5,0,1,0,4.343383585,6,other,monday,0
34,1,1,7,8,204,0.586206894,0.999999992,0.698412693,7,2,1,0,4.671568627,8,lifestyle,monday,1
35,1,1,7,11,315,0.55128205,0.999999994,0.702247187,4,4,,0,4.380952381,10,lifestyle,monday,0
36,1,1,7,10,1244,0.41754671,,,27,22,20,0,4.752411576,10,technology,monday,1
37,1,1,7,8,257,0.568093383,0.999999994,,9,7,0,1,4.638132296,9,social media,monday,1
38,1,1,7,11,799,0.504391467,0.999999998,,8,6,,0,4.695869837,6,world,monday,0
40,1,1,7,10,1036,0.429549902,0.999999999,,21,21,20,0,4.727799228,9,technology,monday,0
41,1,1,7,6,174,0.691860461,0.99999999,,0,0,,0,4.798850575,8,technology,monday,0
42,1,1,7,14,1237,0.423770491,0.999999999,0.570351758,24,24,,0,4.70331447,7,technology,monday,1
43,1,1,7,10,1081,0.428037383,0.999999999,,19,19,20,0,4.652173913,10,technology,monday,0
44,1,1,7,9,1022,0.427427427,0.999999998,0.549999999,20,,20,0,4.746575342,8,technology,monday,1
45,1,1,7,10,142,0.654676254,0.999999987,,2,1,1,0,4.274647887,5,bussiness,monday,0
46,1,1,7,10,1190,0.408703071,0.999999999,,25,,20,0,4.620168067,8,lifestyle,monday,0
47,1,1,7,12,161,0.668831164,,0.752380945,5,,0,6,4.453416149,10,entertainment,monday,0
48,1,1,7,11,1108,0.408592321,0.999999999,0.537588652,21,21,20,0,4.65433213,9,technology,monday,0
49,1,1,7,11,1089,0.418691588,,0.553468207,20,20,20,0,4.694214876,8,technology,monday,0
50,1,1,7,11,214,0.64454976,,0.751937979,2,1,,1,4.654205607,10,technology,monday,1
51,1,1,7,9,944,0.433011789,,0.565789473,21,21,20,0,4.706567797,8,technology,monday,0
52,1,1,7,9,1030,0.422244094,0.999999998,0.563076922,21,21,20,0,4.700970874,9,technology,monday,0
53,1,1,7,11,454,0.566079294,,,5,3,1,0,4.885462555,6,entertainment,monday,1
54,1,1,7,9,1115,0.424131627,,,21,21,20,0,4.631390135,8,technology,monday,1
55,1,1,7,10,555,0.535390199,,0.708823527,7,6,1,0,5.147747748,10,technology,monday,1
56,1,1,7,9,474,0.608602149,,0.80215827,11,0,1,0,4.759493671,7,other,monday,0
57,1,1,7,8,130,0.82170542,0.999999987,0.92207791,7,4,,0,4.546153846,9,technology,monday,0
58,1,1,7,12,444,0.60091743,,,9,8,23,0,4.810810811,10,bussiness,monday,0
59,1,1,7,9,280,0.576642334,0.999999994,0.685082869,5,5,10,1,4.4,6,technology,monday,0
60,1,1,7,13,1024,0.428007889,,,19,19,19,0,4.778320313,10,technology,monday,0
61,1,1,7,12,238,0.621276593,0.999999992,0.823076917,3,1,1,0,4.256302521,9,technology,monday,0
62,1,1,7,9,1070,0.421550094,,0.55122655,22,20,20,0,4.655140187,7,technology,monday,0
63,1,1,7,12,463,0.504347825,0.999999996,,1,1,,0,4.362850972,9,technology,monday,0
64,1,1,7,11,1005,0.431726907,0.999999998,,21,21,20,0,4.655721393,9,technology,monday,0
65,1,1,7,8,403,0.516042779,0.999999996,0.617647056,3,3,1,0,4.081885856,8,technology,monday,1
66,1,1,7,7,251,0.615702477,0.999999994,0.71341463,1,1,1,1,4.80876494,9,technology,monday,0
67,1,1,7,11,317,0.611464966,,0.729468596,7,6,1,0,5.239747634,5,world,monday,1
68,1,1,7,12,177,0.741379306,,0.822580639,4,3,1,0,5.056497175,9,,monday,0
69,1,1,7,6,109,0.66666666,0.999999982,,3,2,1,0,4.733944954,6,bussiness,monday,0
72,1,1,7,9,443,0.46712018,0.999999996,,3,1,,0,5.013544018,6,world,monday,0
73,1,1,7,8,218,0.662983422,,,14,3,11,0,4.435779817,10,social media,monday,0
74,1,1,7,12,988,0.427983539,0.999999998,0.546728971,19,19,20,0,4.696356275,8,technology,monday,0
75,1,1,7,6,374,0.640540539,0.999999995,,7,,1,0,4.909090909,8,lifestyle,monday,0
76,1,1,7,5,356,0.618233616,0.999999996,0.766233763,3,3,12,1,4.471910112,10,entertainment,monday,0
77,1,1,7,9,1226,0.410172272,0.999999999,0.616959063,10,10,1,1,4.393964111,7,social media,monday,1
79,1,1,8,12,288,0.589473682,,0.726190472,5,2,0,0,4.381944444,6,world,tuesday,0
