Id,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
1,349,0,0,192,0,1056,809,7,9.01
2,337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
3,314,145.3,113.2,178.9,8,869.1,690.2,28,46.23
4,540,0,0,173,0,1125,613,14,59.76
5,290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
6,236,157,0,192,0,972.6,749.1,90,47.78
7,288,192,0,192,0,932,717.8,90,50.53
8,141.3,212,0,203.5,0,971.8,748.5,28,29.89
9,272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
10,237.5,237.5,0,228,0,932,594,7,26.26
11,178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
12,144,136,106,178,7,941,774,28,26.14
13,303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
14,236,0,0,193,0,968,885,365,25.08
15,182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
16,446,24,79,162,11.6,967,712,28,51.02
17,273,105,82,210,9,904,680,28,37.17
18,307,0,0,193,0,968,812,90,32.92
19,491,26,123,210,3.9,882,699,3,25.61
20,157,236,0,192,0,935.4,781.2,28,33.66
21,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
22,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
23,388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
24,140,164,128,237,6,869,656,28,35.23
25,133,200,0,192,0,927.4,839.2,7,13.66
26,362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
27,400,0,0,187,0,1025,745,28,43.7
28,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
29,380,0,0,228,0,932,670,90,52.91
30,154,174,185,228,7,845,612,28,24.34
31,254,0,0,198,0,968,863,3,9.31
32,136,162,126,172,10,923,764,28,29.07
33,380,95,0,228,0,932,594,28,36.45
34,310,0,0,192,0,971,850.6,3,9.87
35,190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
36,525,0,0,189,0,1125,613,7,42.42
37,469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
38,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
39,312.7,144.7,0,127.3,8,999.7,822.2,28,44.52
40,277,116.8,91,190.6,7,946.5,665.6,28,43.58
41,332.5,142.5,0,228,0,932,594,28,33.02
42,246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
43,380,0,0,228,0,932,670,365,52.52
44,380,95,0,228,0,932,594,90,40.56
45,310,0,0,192,0,1012,830,28,27.83
46,153,102,0,192,0,888,943.1,7,8.37
47,148,0,182,181,15,839,884,28,15.52
48,147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
49,520,0,0,175,5.2,870,805,28,51.02
50,393,0,0,192,0,940,758,90,48.79
51,236,0,0,193,0,968,885,180,24.1
52,380,0,0,228,0,932,670,270,53.3
53,310,0,0,192,0,970,850,28,27.92
54,166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
55,134.7,0,165.7,180.2,10,961,804.9,28,13.29
56,425,106.3,0,151.4,18.6,936,803.7,7,46.8
57,222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
58,213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
59,141.3,212,0,203.5,0,971.8,748.5,90,39.66
60,375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
61,260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
62,168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
63,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
64,446,24,79,162,11.6,967,712,28,44.42
65,210.7,316.1,0,185.7,0,977,689.3,28,37.81
66,148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
67,212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
68,362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
69,157,236,0,192,0,935.4,781.2,90,43.38
70,500,0,0,200,0,1125,613,3,26.06
71,108.3,162.4,0,203.5,0,938.2,849,7,7.72
72,229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
73,362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
74,425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
75,277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
76,427.5,47.5,0,228,0,932,594,365,43.7
77,181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
78,212,141.3,0,203.5,0,973.4,750,28,33
79,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
80,156,178,187,221,7,854,614,28,29.41
81,427.5,47.5,0,228,0,932,594,7,35.08
82,222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
83,155,183,0,193,9,877,868,28,23.79
84,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
85,159,149,116,175,15,953,720,28,27.68
86,307,0,0,193,0,968,812,365,36.15
87,260,101,78,171,10,936,763,28,49.77
88,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
89,313,0,0,178,8,1000,822,28,25.1
90,290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
91,252,0,0,185,0,1111,784,7,13.71
92,143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
